item_id,order_id,product_id,quantity,unit_price,discount_price
288,71,58,4,3037,48
289,63,164,2,4404,95
290,48,120,1,4179,48
291,405,470,3,508,17
292,208,326,5,252,21
293,298,202,2,6740,94
294,136,173,4,4850,91
295,175,424,4,3043,46
296,5,472,5,6953,57
297,227,462,1,2494,23
298,292,397,-1,6196,82
299,346,216,2,6211,58
300,233,38,4,6731,91
301,126,376,3,4889,23
302,400,88,3,7039,73
303,464,381,3,1755,78
304,119,444,2,6167,31
305,241,93,4,6995,36
306,71,277,2,4764,64
307,53,433,2,4440,32
308,261,395,2,2888,4
309,70,135,5,774,31
310,179,150,4,2966,88
311,425,77,4,7539,36
312,106,132,2,7256,65
313,18,255,4,7555,46
314,184,73,3,5480,17
315,408,44,2,5824,81
316,491,312,2,4323,31
317,116,67,1,1533,41
318,231,491,3,7131,51
319,139,323,5,2246,94
320,88,216,3,3687,82
321,404,446,2,2145,98
322,372,221,3,3984,24
323,471,51,5,2346,2
324,436,409,1,7260,56
325,371,275,4,4925,83
326,430,236,1,1328,48
327,298,18,4,6386,30
328,115,149,4,5683,54
329,173,224,3,1461,80
330,341,398,2,1130,37
331,141,346,2,1258,2
332,39,29,4,6844,85
333,217,122,3,5232,18
334,457,473,2,2284,92
335,54,175,4,3310,33
336,69,19,-4,3622,8
337,254,164,4,5312,84
338,339,234,2,2681,19
339,488,458,5,5361,90
340,59,123,4,4809,29
341,460,184,1,3456,97
342,27,133,2,5281,45
343,313,370,3,7617,61
344,299,226,5,7103,99
345,321,47,3,2049,37
346,321,10,3,908,63
347,456,138,-3,2560,56
348,360,400,3,1410,26
349,418,230,2,7044,91
350,340,264,2,6837,72
351,219,408,2,1547,90
352,483,165,-2,4655,42
353,351,139,1,3857,39
354,86,70,4,2337,60
355,110,429,2,4377,92
356,41,286,1,1973,64
357,470,287,3,7173,44
358,208,387,-3,3356,15
359,20,7,4,6340,67
360,197,457,5,3213,29
361,238,85,1,494,50
362,321,436,4,6595,93
363,343,156,3,3962,16
364,100,156,3,1305,51
365,449,10,2,4422,21
366,188,135,3,574,94
367,186,29,3,3112,93
368,71,14,2,2281,25
369,133,474,1,6165,39
370,259,399,1,2970,20
371,400,250,4,3980,81
372,412,75,3,5845,6
373,299,440,5,2308,69
374,184,208,3,4706,45
375,229,393,1,6362,88
376,339,297,2,6279,35
377,350,77,1,6015,87
378,165,244,5,2495,89
379,289,465,5,5983,39
380,336,96,5,6648,1
381,325,190,3,4192,63
382,402,41,3,3642,28
383,39,159,1,2417,71
384,470,44,4,6923,50
385,446,267,1,5370,71
386,324,120,1,2198,88
387,457,489,2,7291,72
388,390,340,1,4922,5
389,392,488,2,2697,53
390,324,385,5,5768,91
391,381,465,3,7023,71
392,311,70,2,3137,18
393,382,244,4,4863,69
394,167,417,2,852,37
395,90,334,2,5845,91
396,428,203,3,3564,66
397,498,429,1,4875,62
398,386,310,3,437,21
399,244,175,4,7030,60
400,179,129,2,4894,37
401,293,65,4,754,48
402,33,99,5,5071,87
403,332,320,4,7175,40
404,74,331,-4,342,14
405,462,479,3,7021,34
406,113,440,3,4412,60
407,108,209,4,225,92
408,455,362,4,6612,24
409,402,291,2,6802,74
410,277,471,4,3955,53
411,321,232,2,5356,8
412,284,380,4,5059,1
413,8,169,3,4720,1
414,343,138,1,6315,17
415,475,430,2,7235,20
416,480,474,2,2907,51
417,93,23,5,4448,17
418,374,264,3,832,25
419,109,154,1,5245,56
420,311,204,3,3008,64
421,288,8,3,4380,97
422,258,363,1,4703,7
423,228,425,3,2502,35
424,382,231,5,5078,63
425,308,376,5,506,95
426,378,397,2,2653,36
427,9,243,5,1850,84
428,471,110,3,3552,7
429,185,102,-3,5757,56
430,313,164,5,388,59
431,5,49,1,6444,68
432,283,262,5,3927,89
433,331,252,3,675,64
434,187,495,2,5990,27
435,12,234,3,4299,69
436,498,239,3,7657,17
437,444,17,-3,1149,4
438,437,461,2,5407,85
439,448,222,1,889,67
440,369,412,3,5885,84
441,264,418,1,4452,78
442,267,263,2,420,15
443,349,485,3,6323,64
444,219,405,2,3361,69
445,240,186,-2,1130,3
446,372,147,5,7701,32
447,178,182,2,6664,84
448,71,355,3,5764,7
449,56,215,1,5909,18
450,485,192,4,4441,72
451,232,225,1,6911,33
452,63,33,5,6174,23
453,61,266,1,6148,72
454,454,132,2,916,4
455,425,382,-2,7351,98
456,293,34,4,2884,23
457,135,57,2,4540,91
458,462,37,5,2999,78
459,282,295,5,4692,28
460,137,339,4,1133,53
461,124,94,4,6589,100
462,377,276,3,4347,71
463,422,343,2,5251,51
464,137,256,3,5836,13
465,493,295,1,3368,35
466,311,366,2,2774,80
467,349,391,4,2326,47
468,244,465,2,6140,56
469,340,295,4,1989,64
470,194,196,2,2418,49
471,483,177,3,585,46
472,363,104,2,2286,100
473,301,377,5,1403,97
474,91,263,2,5482,80
475,159,480,5,1476,74
476,154,396,1,1264,88
477,94,386,2,5260,21
478,200,61,1,3819,83
479,284,413,1,3979,36
480,363,137,4,2313,63
481,494,259,4,6005,59
482,2,353,1,4671,86
483,478,393,1,5312,49
484,73,128,4,7974,37
485,25,127,4,4485,19
486,128,107,1,367,9
487,94,404,4,1359,1
488,245,332,4,4936,17
489,177,94,3,7769,93
490,59,499,2,3296,63
491,271,35,3,5694,52
492,257,119,4,1359,90
493,2,197,3,3029,83
494,389,333,1,911,77
495,264,390,4,1162,69
496,130,62,1,4443,79
497,374,337,3,5521,96
498,327,295,1,2188,99
499,244,34,4,7741,63
500,213,329,5,6804,15
